tm,MVm,PVm
1.330000000000000000e+02,1.000000000000000000e+00,1.619500000000000384e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.683999999999999386e-01
1.350000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.360000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.370000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.380000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.390000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.400000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.410000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.420000000000000000e+02,1.000000000000000000e+00,1.699999999999999289e-01
1.430000000000000000e+02,1.000000000000000000e+00,1.708249999999999491e-01
1.440000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.450000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.460000000000000000e+02,1.000000000000000000e+00,1.724249999999999672e-01
1.470000000000000000e+02,1.000000000000000000e+00,1.732250000000000456e-01
1.480000000000000000e+02,1.000000000000000000e+00,1.748500000000000054e-01
1.490000000000000000e+02,1.000000000000000000e+00,1.748500000000000054e-01
1.500000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.510000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.520000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.530000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.540000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.550000000000000000e+02,1.000000000000000000e+00,1.780749999999999278e-01
1.560000000000000000e+02,1.000000000000000000e+00,1.812749999999999362e-01
1.570000000000000000e+02,1.000000000000000000e+00,1.820999999999999841e-01
1.580000000000000000e+02,1.000000000000000000e+00,1.853249999999999065e-01
1.590000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01
1.600000000000000000e+02,1.000000000000000000e+00,1.853249999999999065e-01
1.610000000000000000e+02,1.000000000000000000e+00,1.853249999999999065e-01
1.620000000000000000e+02,1.000000000000000000e+00,1.853249999999999065e-01
1.630000000000000000e+02,1.000000000000000000e+00,1.853249999999999065e-01
1.640000000000000000e+02,1.000000000000000000e+00,1.877250000000000030e-01
1.650000000000000000e+02,1.000000000000000000e+00,1.885500000000000509e-01
1.660000000000000000e+02,1.000000000000000000e+00,1.933749999999999913e-01
1.670000000000000000e+02,1.000000000000000000e+00,1.917500000000000315e-01
1.680000000000000000e+02,1.000000000000000000e+00,1.933749999999999913e-01
1.690000000000000000e+02,1.000000000000000000e+00,1.933749999999999913e-01
1.700000000000000000e+02,1.000000000000000000e+00,1.933749999999999913e-01
1.710000000000000000e+02,1.000000000000000000e+00,1.933749999999999913e-01
1.720000000000000000e+02,1.000000000000000000e+00,1.998250000000000581e-01
1.730000000000000000e+02,1.000000000000000000e+00,2.006249999999999700e-01
1.740000000000000000e+02,1.000000000000000000e+00,2.014250000000000485e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.014250000000000485e-01
1.760000000000000000e+02,1.000000000000000000e+00,2.014250000000000485e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.014250000000000485e-01
1.780000000000000000e+02,1.000000000000000000e+00,2.022249999999999603e-01
1.790000000000000000e+02,1.000000000000000000e+00,2.054499999999999105e-01
1.800000000000000000e+02,1.000000000000000000e+00,2.094749999999999390e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.094749999999999390e-01
1.820000000000000000e+02,1.000000000000000000e+00,2.094749999999999390e-01
1.830000000000000000e+02,1.000000000000000000e+00,2.094749999999999390e-01
